input_text,target_text
"source target factuality: "" We will not go over a certain level , "" said David N. McCammon , Ford 's vice president for finance , at a news conference yesterday in Dearborn , Mich. "" There 's some price at which we 'd stop bidding . ""","(AUTHOR, conference, true); (AUTHOR, go, unknown); (AUTHOR, said, true); (AUTHOR, stop, unknown); (AUTHOR, bidding, unknown); (AUTHOR_McCammon, go, false); (AUTHOR_McCammon, stop, true); (AUTHOR_McCammon, bidding, true)"
"source target factuality: Other firms "" are dealing with the masses .","(AUTHOR, dealing, true)"
"source target factuality: People who remain in junk funds now could get hit again , some analysts and fund specialists say .","(AUTHOR, remain, unknown); (AUTHOR, get, unknown); (AUTHOR, hit, unknown); (AUTHOR, say, true); (AUTHOR_analysts, remain, true); (AUTHOR_analysts, get, ptrue); (AUTHOR_analysts, hit, ptrue)"
"source target factuality: And Robert Gates , Mr. Bush 's deputy national security adviser , asserted in an interview on the Cable News Network that Iraqi troops have set fire to "" large sections "" of Kuwait City .","(AUTHOR, asserted, true); (AUTHOR, interview, true); (AUTHOR, set, unknown); (AUTHOR, fire, unknown); (AUTHOR_Gates, set, true); (AUTHOR_Gates, fire, true)"
"source target factuality: Though Mr. Packer has since sold his stake , Courtaulds is moving to keep its institutional shareholders happy .","(AUTHOR, happy, unknown); (AUTHOR, sold, true); (AUTHOR, moving, true); (AUTHOR, keep, unknown)"
"source target factuality: Milton Roy disclosed in May that it was approached for a possible acquisition by Thermo Electron , which agreed to purchase Milton Roy 's liquid - chromatography line for $ 22 million in February .","(AUTHOR, disclosed, true); (AUTHOR, approached, true); (AUTHOR, acquisition, ptrue); (AUTHOR, agreed, true); (AUTHOR, purchase, true); (AUTHOR_Roy, approached, true); (AUTHOR_Roy, acquisition, ptrue); (AUTHOR_Roy, agreed, true); (AUTHOR_Roy, purchase, true)"
source target factuality: Mr. Marous said Westinghouse would own 70 % of the facility .,"(AUTHOR, own, unknown); (AUTHOR, said, true); (AUTHOR_Marous, own, true)"
source target factuality: The sickest patients are already treated first .,"(AUTHOR, treated, true)"
"source target factuality: Net sales for this year 's third quarter were $ 14 million , down from $ 21.4 million last year .","(AUTHOR, $, true); (AUTHOR, $, true)"
"source target factuality: "" We 're in environments that are going to spend a lot of money on that . ""","(AUTHOR, spend, unknown); (AUTHOR_DUMMY, spend, true)"
source target factuality: Palace inspections are not expected to start until the new agreement 's procedures are in place .,"(AUTHOR, start, unknown); (AUTHOR, place, unknown); (AUTHOR, inspections, unknown); (AUTHOR, expected, false); (AUTHOR_GEN, start, unknown); (AUTHOR_GEN, place, unknown); (AUTHOR_GEN, inspections, unknown)"
"source target factuality: In recent months a group of lenders , led by Bank of America , has extended Control Data up to $ 90 million in revolving loans through January , as well as $ 115 million in standby letters of credit .","(AUTHOR, extended, true)"
"source target factuality: In the quarter ended July 31 , Jayark had an average of 5.6 million shares outstanding .","(AUTHOR, had, true)"
source target factuality: A new report says there has been a dramatic rise in the growth of hate groups in the United States over the past year .,"(AUTHOR, growth, true); (AUTHOR, says, true); (AUTHOR, rise, unknown); (AUTHOR_report, growth, true); (AUTHOR_report, rise, true)"
"source target factuality: Ticketron 's automated wagering business , which operates lotteries in a half dozen states , is not for sale , the company said .","(AUTHOR, said, true); (AUTHOR, for, unknown); (AUTHOR_company, for, false)"
"source target factuality: Horsley was not a defendant in the suit , in which the Portland , Ore. , jury ruled that such sites constitute threats to abortion providers .","(AUTHOR, was, false); (AUTHOR, suit, true); (AUTHOR, ruled, true); (AUTHOR, constitute, true); (AUTHOR_jury, constitute, true)"
"source target factuality: Nashua immediately responded by strengthening a poison - pill plan and saying it will buy back up to one million of its shares , or 10.4 % of the 9.6 million outstanding .","(AUTHOR, saying, true); (AUTHOR, buy, unknown); (AUTHOR, responded, true); (AUTHOR, strengthening, true); (AUTHOR_Nashua, buy, true)"
"source target factuality: King Hussein was reportedly carrying a message to Bush from Iraq 's Saddam , with whom the king met Monday .","(AUTHOR, carrying, unknown); (AUTHOR, met, true)"
"source target factuality: Then Martonyi replied : "" Silence is your answer . ""","(AUTHOR, replied, true); (AUTHOR, Silence, unknown); (AUTHOR_Martonyi, Silence, true)"
"source target factuality: Such selling could erode prices of high - yield junk bonds , already weakened by a rash of corporate credit problems .","(AUTHOR, rash, true); (AUTHOR, selling, unknown); (AUTHOR, erode, ptrue); (AUTHOR, weakened, true)"
source target factuality: Starpointe Savings Bank rose 3 to 20 after the Federal Deposit Insurance Corp. approved Dime Savings Bank of New York 's $ 21 - a - share acquisition of Starpointe .,"(AUTHOR, rose, true); (AUTHOR, approved, true); (AUTHOR, acquisition, true)"
source target factuality: This time a bomb at an abortion clinic .,"(AUTHOR, bomb, true)"
"source target factuality: Last April , Mr. Drabinsky and a group of financial backers planned to acquire up to 30.2 % of Cineplex for C$ 17.50 a share from Bronfman associates .","(AUTHOR, planned, true); (AUTHOR, acquire, unknown)"
"source target factuality: "" If the Lebanese government will cooperate with us in making appropriate security arrangements in south Lebanon , we will be happy to get out of Lebanon in the framework of implementation of U.N. Resolution 425 , "" Netanyahu told his ministers .","(AUTHOR, cooperate, unknown); (AUTHOR, making, unknown); (AUTHOR, get, unknown); (AUTHOR, told, true); (AUTHOR_Netanyahu, cooperate, unknown); (AUTHOR_Netanyahu, making, unknown); (AUTHOR_Netanyahu, get, unknown)"
"source target factuality: These results compare with net income of $ 1.8 million , or 44 cents a share , for the corresponding period last year .","(AUTHOR, income, true); (AUTHOR, compare, true)"
source target factuality: British Petroleum fell 5 to 286 on 14 million shares traded .,"(AUTHOR, 286, true); (AUTHOR, fell, true)"
source target factuality: Dow Jones has said it believes the $ 18 - a - share price is fair to Telerate 's minority shareholders .,"(AUTHOR, fair, unknown); (AUTHOR, said, true); (AUTHOR, believes, unknown); (AUTHOR_it, fair, ptrue); (AUTHOR_Jones, believes, true)"
source target factuality: Terms were n't disclosed .,"(AUTHOR, disclosed, false)"
"source target factuality: A spokesman for the Toronto cable television and telecommunications concern said the coupon rate has n't yet been fixed , but will probably be set at around 8 % .","(AUTHOR, said, true); (AUTHOR, fixed, unknown); (AUTHOR, set, unknown); (AUTHOR_spokesman, fixed, false); (AUTHOR_spokesman, set, ptrue)"
"source target factuality: Uh , there are over fifty thousand CDs a year sold with uh lyrics that are quite uh unbelievable .","(AUTHOR, sold, true)"
"source target factuality: A few days later , American Medical announced sharply lower earnings , taking charges of $ 24 million for insurance reserves and canceled real estate leases .","(AUTHOR, announced, true); (AUTHOR, taking, true); (AUTHOR, canceled, true); (AUTHOR, earnings, unknown); (AUTHOR, leases, false); (AUTHOR_Medical, earnings, true)"
source target factuality: The thrift and the holders had suspended their lawsuits as part of the agreement .,"(AUTHOR, suspended, true); (AUTHOR, lawsuits, true); (AUTHOR, agreement, true)"
source target factuality: Pro - republicans hope to have an Australian president by the opening of the 2000 Olympics and the 100th anniversary of Australian federation .,"(AUTHOR, hope, true); (AUTHOR, have, unknown); (AUTHOR, opening, true)"
source target factuality: The official said these sites could only be visited by a special team of U.N. monitors and diplomats as laid down by the Feb. 23 accord signed by U.N. Secretary - General Kofi Annan and Iraqi Deputy Prime Minister Tariq Aziz .,"(AUTHOR, said, true); (AUTHOR, visited, unknown); (AUTHOR, laid, true); (AUTHOR, signed, true); (AUTHOR_official, visited, unknown); (AUTHOR_official, laid, true); (AUTHOR_official, signed, true)"
source target factuality: The fund now holds a cash position of about 15 % .,"(AUTHOR, holds, true)"
source target factuality: The non - food operations accounted for about 27 % of Provigo 's 7.38 billion Canadian dollars ( US$ 6.3 billion ) in sales in the latest fiscal year .,"(AUTHOR, accounted, true)"
"source target factuality: Those included costs associated with the potential Valley Federal Savings and Loan Association acquisition , which was terminated on Sept. 27 , 1989 .","(AUTHOR, included, true); (AUTHOR, terminated, true); (AUTHOR, acquisition, ptrue)"
"source target factuality: For the year , pet food volume was flat , the company said .","(AUTHOR, said, true); (AUTHOR, flat, unknown); (AUTHOR_company, flat, true)"
"source target factuality: In such an environment , market makers can suffer huge losses both on trades made that day at steadily dropping prices and in the value of their inventories of shares .","(AUTHOR, suffer, ptrue); (AUTHOR, losses, ptrue)"
"source target factuality: There have been reports of wholesale looting but food and gasoline were still available , said a spokesman , who by custom was not identified .","(AUTHOR, reports, unknown); (AUTHOR, available, unknown); (AUTHOR, said, true); (AUTHOR, identified, false); (AUTHOR_spokesman, reports, true); (AUTHOR_spokesman, available, true)"
"source target factuality: The company had a net loss of C$ 2.3 million , or 14 Canadian cents a share , a year ago .","(AUTHOR, had, true); (AUTHOR, 2.3, true)"
"source target factuality: And in Hong Kong , a three percent drop .","(AUTHOR, drop, true)"
"source target factuality: Bush was expected to authorize naval commanders to use "" the minimum force necessary "" to interdict shipments to and from Iraq , a U.S. official said .","(AUTHOR, expected, unknown); (AUTHOR, authorize, unknown); (AUTHOR, use, unknown); (AUTHOR, interdict, unknown); (AUTHOR, said, true); (AUTHOR_official, expected, true); (AUTHOR_official, authorize, ptrue); (AUTHOR_official, use, unknown); (AUTHOR_official, interdict, unknown); (AUTHOR_GEN, authorize, unknown); (AUTHOR_GEN, use, unknown); (AUTHOR_GEN, interdict, unknown); (AUTHOR_official_GEN, authorize, ptrue); (AUTHOR_official_GEN, use, unknown); (AUTHOR_official_GEN, interdict, unknown)"
"source target factuality: Analysts say much of Kellogg 's erosion has been in such core brands as Corn Flakes , Rice Krispies and Frosted Flakes , which represent nearly one - third of its sales volume .","(AUTHOR, erosion, true); (AUTHOR, say, true); (AUTHOR_Analysts, erosion, true)"
source target factuality: No suspects have been identified .,"(AUTHOR, identified, false)"
source target factuality: The accord helps RJR pay off debt and boosts Nestle 's 7 % share of the U.S. candy market to 12 % .,"(AUTHOR, accord, true); (AUTHOR, helps, true); (AUTHOR, pay, true); (AUTHOR, boosts, true)"
source target factuality: The company said its junk - bond portfolio after these moves had been reduced to less than 1 % of assets .,"(AUTHOR, said, true); (AUTHOR, moves, true); (AUTHOR, reduced, unknown); (AUTHOR_company, moves, true); (AUTHOR_company, reduced, true)"
source target factuality: Spontaneous applause echoed through the chamber and public galleries as the crucial vote passed by a wide margin .,"(AUTHOR, applause, true); (AUTHOR, echoed, true); (AUTHOR, vote, true); (AUTHOR, passed, true)"
source target factuality: Ford might succeed because many shareholders are speculators keen for a full bid or institutional investors unhappy over Jaguar management 's handling of its current financial difficulties .,"(AUTHOR, keen, true); (AUTHOR, unhappy, true); (AUTHOR, difficulties, true); (AUTHOR, succeed, ptrue); (AUTHOR, bid, unknown); (AUTHOR, handling, true)"
source target factuality: Polly Peck International Inc. 's agreement to acquire 51 % of Sansui Electric Co. proves that foreign companies can acquire Japanese companies -- if the alternative for the Japanese company is extinction .,"(AUTHOR, agreement, true); (AUTHOR, acquire, unknown)"
"source target factuality: Publicly , they are unwilling to make any sweeping assertion .","(AUTHOR, unwilling, true); (AUTHOR, make, unknown); (AUTHOR, assertion, false)"
"source target factuality: But the north 's pro - British Protestant majority is bitterly opposed to uniting Ireland and instead wants a strong government for Northern Ireland , which has been ruled directly by London since 1972 .","(AUTHOR, government, unknown); (AUTHOR, opposed, true); (AUTHOR, uniting, unknown); (AUTHOR, wants, true); (AUTHOR, ruled, true)"
"source target factuality: There were four or five people inside , and they just started firing . ""","(AUTHOR, started, unknown); (AUTHOR, firing, unknown); (AUTHOR_DUMMY, started, true); (AUTHOR_DUMMY, firing, true)"
"source target factuality: Property / casualty insurance has been a tough business in recent quarters , as pricing has been cutthroat and natural disasters such as Hurricane Hugo and the California earthquake have resulted in huge payments .","(AUTHOR, tough, true); (AUTHOR, payments, true); (AUTHOR, Hugo, true); (AUTHOR, disasters, true); (AUTHOR, resulted, true); (AUTHOR, earthquake, true)"
"source target factuality: The men appeared in the store at 469 Vermont St. in Brownsville around 7:15 p.m. , after the victim , Linda Sanders , 35 , had finished her cleaning and was waiting for her clothes to dry , detectives said .","(AUTHOR, waiting, unknown); (AUTHOR, dry, unknown); (AUTHOR, said, true); (AUTHOR, cleaning, unknown); (AUTHOR, appeared, unknown); (AUTHOR, finished, unknown); (AUTHOR_detectives, waiting, true); (AUTHOR_detectives, dry, unknown); (AUTHOR_detectives, cleaning, true); (AUTHOR_detectives, appeared, true); (AUTHOR_detectives, finished, true)"
"source target factuality: Uh , uh a - they believe , or at least many of them believe , uh that they are approaching the Battle of Armageddon in which they will be pitted against the uh kind of Satanic forces trying to take over the world .","(AUTHOR,  uh that they are approaching the Battle of Armageddon in which they will be pitted against the uh kind of Satanic forces trying to take over the world ., unknown); (AUTHOR, believe, true); (AUTHOR, believe, true); (AUTHOR, approaching, unknown); (AUTHOR, trying, unknown); (AUTHOR, take, unknown); (AUTHOR_many, Battle, true); (AUTHOR_many, approaching, true); (AUTHOR_many, trying, true); (AUTHOR_many, take, unknown)"
"source target factuality: The acquisition brings together the two largest competitors to Home Shopping Network Inc. , which now reaches more viewers than any other company in the video shopping industry .","(AUTHOR, acquisition, true); (AUTHOR, reaches, true); (AUTHOR, brings, true)"
source target factuality: Howes had been working for the Britain - based Mines Advisory Group when he was abducted with his Cambodian interpreter Houn Hourth in March 1996 .,"(AUTHOR, abducted, true); (AUTHOR, working, true)"
"source target factuality: Yet , paradoxically , the perception that the U.S. wants to destroy Iraq may increase Saddam Hussein 's support within the Iraqi military .","(AUTHOR, wants, unknown); (AUTHOR, destroy, unknown); (AUTHOR, increase, ptrue); (AUTHOR, support, true)"
source target factuality: Poland 's Aleksander Kwasniewski and Vaclav Havel signed the preparatory documents in their presidential palaces .,"(AUTHOR, signed, true)"
"source target factuality: He also is charged in three Atlanta attacks , including the 1996 Olympic bombing that killed one person .","(AUTHOR, charged, true); (AUTHOR, bombing, true); (AUTHOR, killed, true); (AUTHOR, charged, true); (AUTHOR, attacks, true); (AUTHOR, bombing, true); (AUTHOR, killed, true)"
source target factuality: Dr. Barnett Slepian was killed in his kitchen by a sniper 's bullet last fall .,"(AUTHOR, killed, true)"
"source target factuality: A spokesman said herbicide use in some areas of the U.S. was delayed earlier in the year by heavy rains , thus increasing sales in the third quarter .","(AUTHOR, delayed, unknown); (AUTHOR, use, unknown); (AUTHOR, rains, unknown); (AUTHOR, said, true); (AUTHOR, increasing, unknown); (AUTHOR_spokesman, delayed, true); (AUTHOR_spokesman, use, true); (AUTHOR_spokesman, rains, true); (AUTHOR_spokesman, increasing, true)"
"source target factuality: The rifle was discovered April 8 buried one foot below the ground , about 200 feet behind Slepian 's house .","(AUTHOR, discovered, true); (AUTHOR, buried, true); (AUTHOR_GEN, buried, true)"
"source target factuality: Since then , 427 fugitives have been taken into custody or located , 133 of them as a result of citizen assistance , the FBI said .","(AUTHOR, taken, unknown); (AUTHOR, located, unknown); (AUTHOR, assistance, unknown); (AUTHOR, said, true); (AUTHOR_FBI, taken, true); (AUTHOR_FBI, located, true); (AUTHOR_FBI, assistance, true); (AUTHOR, taken, true); (AUTHOR, located, true); (AUTHOR, assistance, true); (AUTHOR, said, true)"
"source target factuality: In speeches before the signing ceremony , the ministers said their countries saw NATO membership as an assurance of security and recognition of their rightful place in Europe .","(AUTHOR, speeches, true); (AUTHOR, ceremony, true); (AUTHOR, said, true); (AUTHOR, saw, unknown); (AUTHOR_ministers, saw, true); (AUTHOR, speeches, true); (AUTHOR, ceremony, true); (AUTHOR, said, true); (AUTHOR, saw, unknown); (AUTHOR_ministers, saw, true)"
source target factuality: Administration aides said that the idea of the ultimatum was Gen. Powell 's .,"(AUTHOR, said, true); (AUTHOR, ultimatum, true); (AUTHOR_aides, ultimatum, true)"
"source target factuality: The tender offer will be followed by the sale of all of Erbamont 's assets , subject to all of its liabilities , to Montedison .","(AUTHOR, offer, true); (AUTHOR, sale, true)"
"source target factuality: Still , two - thirds of the outflow has been steered into other Vanguard portfolios , says Brian Mattes , a vice president .","(AUTHOR, steered, unknown); (AUTHOR, says, true); (AUTHOR, outflow, true); (AUTHOR_Mattes, steered, true); (AUTHOR_Mattes, outflow, true)"
"source target factuality: The Dearborn , Mich. , energy company stopped paying a dividend in the third quarter of 1984 because of troubles at its Midland nuclear plant .","(AUTHOR, stopped, true); (AUTHOR, paying, false); (AUTHOR, troubles, true)"
"source target factuality: The United States had moved additional troops and a naval armada into the Gulf and said it would strike Iraq unless it gave the U.N. arms inspectors unfettered access to all potential weapons sites , including Saddam 's palaces .","(AUTHOR, moved, true); (AUTHOR, said, true); (AUTHOR, strike, unknown); (AUTHOR_States, strike, unknown)"
"source target factuality: Ms. Applebaum had estimated third - quarter earnings of 55 cents a shhha55 cents a share , ents a share , but ssa share , but said the losses for the unusual items were larger than expected .","(AUTHOR, losses, unknown); (AUTHOR, larger, unknown); (AUTHOR, estimated, true); (AUTHOR, said, true); (AUTHOR, expected, unknown); (AUTHOR_Applebaum, losses, true); (AUTHOR_Applebaum, larger, true); (AUTHOR_Applebaum, expected, true)"
"source target factuality: Previously , an affiliate of Unicorp Canada disclosed a stake of less than 5 % in Nashua , according to Daniel M. Junius , Nashua 's treasurer .","(AUTHOR, disclosed, unknown); (AUTHOR, according, true); (AUTHOR_Junius, disclosed, true)"
"source target factuality: In the year - ago period , Bethlehem earned $ 101.4 million , or $ 1.27 a share , including a $ 3.8 million gain from early retirement of debt .","(AUTHOR, gain, true); (AUTHOR, including, true); (AUTHOR, earned, true); (AUTHOR, retirement, true)"
"source target factuality: Lawrence Insurance Group Inc. said it acquired United Republic Reinsurance Co. , a Houston property and casualty reinsurance company , from United Savings Association of Texas for $ 28 million .","(AUTHOR, said, true); (AUTHOR, acquired, unknown); (AUTHOR_Inc., acquired, true)"
source target factuality: The average daily share turnover for October is almost 148 million shares .,"(AUTHOR, 148, true)"
"source target factuality: But Mr. Schwarz welcomes the competition in U.S. Trust 's flagship businesses , calling it "" flattery . ""","(AUTHOR, welcomes, true); (AUTHOR, competition, true); (AUTHOR, calling, true); (AUTHOR_Schwarz, competition, true)"
"source target factuality: Slepian , 52 , an obstetrician and gynecologist , was shot through the kitchen window of his home in Amherst shortly after he and his wife returned home from synagogue on the night of Friday , Oct. 23 .","(AUTHOR, shot, true); (AUTHOR, returned, true)"
"source target factuality: In an interview , W. Brent LeGere , chairman and chief executive officer , said he expects revenue in the latest quarter to total about $ 28 million .","(AUTHOR, total, unknown); (AUTHOR, interview, true); (AUTHOR, said, true); (AUTHOR, expects, unknown); (AUTHOR_he, total, ptrue); (AUTHOR_LeGere, expects, true)"
source target factuality: The company also adopted an anti - takeover plan .,"(AUTHOR, plan, true); (AUTHOR, adopted, true)"
"source target factuality: The quarantine hopes to staunch the flow of Iraqi oil , which is Iraq 's economic lifeblood , and clamp down on food and supplies going in .","(AUTHOR, hopes, true); (AUTHOR, staunch, unknown); (AUTHOR, clamp, unknown); (AUTHOR, going, true); (AUTHOR, quarantine, true); (AUTHOR, flow, true); (AUTHOR_GEN, staunch, unknown); (AUTHOR_GEN, clamp, unknown); (AUTHOR_GEN, going, true); (AUTHOR_GEN, flow, true)"
source target factuality: They must not be allowed to succeed .,"(AUTHOR, allowed, unknown); (AUTHOR, succeed, unknown)"
"source target factuality: Although many of the transactions related to those securities have n't been completed , Columbia said the ultimate gain on the sale of those assets will range from $ 200 million to $ 300 million .","(AUTHOR, transactions, true); (AUTHOR, completed, false); (AUTHOR, said, true); (AUTHOR, sale, true); (AUTHOR, range, unknown); (AUTHOR, gain, true); (AUTHOR_Columbia, sale, true); (AUTHOR_Columbia, range, true); (AUTHOR_Columbia, gain, true)"
source target factuality: The economic chokehold appears to be working .,"(AUTHOR, chokehold, true)"
source target factuality: UNESCO declared it a protected site for its beauty and its historical significance .,"(AUTHOR, protected, true); (AUTHOR, declared, true); (AUTHOR_UNESCO, protected, true)"
"source target factuality: "" We looked to the United States , we expected you to have the moral edge , "" says Nasser Tahboub , a Jerusalem - born Jordanian who has an American wife and a doctorate in political science from Duke University .","(AUTHOR, looked, unknown); (AUTHOR, expected, unknown); (AUTHOR, have, unknown); (AUTHOR, says, true); (AUTHOR, has, true); (AUTHOR_Tahboub, looked, true); (AUTHOR_Tahboub, expected, true); (AUTHOR_we, have, ptrue)"
source target factuality: Annan wrapped up a three hour meeting with Iraqi president Saddam Hussein in Baghdad today .,"(AUTHOR, meeting, true); (AUTHOR, wrapped, true)"
"source target factuality: They also worry that if the government applies asset - forfeiture laws broadly , the best defense lawyers will be unwilling to take criminal cases unless they are assured of being paid .","(AUTHOR, applies, unknown); (AUTHOR, take, unknown); (AUTHOR, assured, unknown); (AUTHOR, paid, unknown); (AUTHOR, worry, true); (AUTHOR, unwilling, unknown); (AUTHOR_GEN, paid, unknown); (AUTHOR_They, applies, unknown); (AUTHOR_They, take, unknown); (AUTHOR_They, assured, unknown); (AUTHOR_They, paid, unknown); (AUTHOR_They, unwilling, unknown); (AUTHOR_They_GEN, paid, unknown)"
"source target factuality: The extremist party recently took a surprising 13 percent of the vote in elections in a depressed eastern German state , and hopes to win its first seats in the federal parliament this September .","(AUTHOR, took, true); (AUTHOR, elections, true); (AUTHOR, hopes, true); (AUTHOR, win, unknown); (AUTHOR, depressed, true)"
"source target factuality: We have solved them all . ""","(AUTHOR, solved, unknown); (AUTHOR_DUMMY, solved, true)"
"source target factuality: Under the offer , shareholders will receive one right for each 105 common shares owned .","(AUTHOR, offer, true); (AUTHOR, receive, true); (AUTHOR, owned, true)"
